Pos_1_Symbol,Pos_1_IUPAC,Pos_2_Symbol,Pos_2_IUPAC,Pos_3_Symbol,Pos_3_IUPAC,Pos_4_Symbol,Pos_4_IUPAC,Pos_5_Symbol,Pos_5_IUPAC,Pos_6_Symbol,Pos_6_IUPAC
Mono40,2-[3-(1-methylpyrazol-4-yl)propylamino]acetic acid,,,Mono59,"(2S,4R)-4-(4,4-difluoropiperidin-1-yl)pyrrolidine-2-carboxylic acid",,,,,,
Mono41,2-[3-(2-oxopyrrolidin-1-yl)propylamino]acetic acid,,,Mono60,"(2S,4S)-4-(4,4-difluoropiperidin-1-yl)pyrrolidine-2-carboxylic acid",,,,,,
Mono47,(2S)-1-[(1S)-1-[(2S)-aziridin-2-yl]-2-(tert-butylamino)-2-oxoethyl]pyrrolidine-2-carboxylic acid,,,Mono65,"(2S)-2-amino-7,7,7-trifluoro-6-hydroxyheptanoic acid",,,,,,
Mono83,2-(6-aminohexylamino)acetic acid,,,Mono75,(2S)-2-(3-aminopropylamino)-3-phenylpropanoic acid,,,,,,
ac-,acetic acid,,,Mono84,(2S)-2-(6-aminohexylamino)propanoic acid,,,,,,
Bal(d3-Me),(3R)-3-aminobutanoic acid,,,Mono85,(2R)-2-(6-aminohexylamino)propanoic acid,,,,,,
Me_Bal(d3-Me),(3R)-3-(methylamino)butanoic acid,,,Mono92,(2R)-5-amino-2-methylpentanoic acid,,,,,,
Mono113,(2R)-3-amino-2-methylpropanoic acid,,,Mono93,(2S)-5-amino-2-methylpentanoic acid,,,,,,
-nme2,N-methylmethanamine,,,Mono94,(3R)-5-amino-3-methylpentanoic acid,,,,,,
Mono115,2-[(2R)-3-ethoxy-2-(methylamino)-3-oxopropyl]sulfanylaceticacid,,,Mono95,(3S)-5-amino-3-methylpentanoic acid,,,,,,
Me_Hse(Me),(2S)-4-methoxy-2-(methylamino)butanoic acid,,,Mono96,(4R)-5-amino-4-methylpentanoic acid,,,,,,
Me_Gly(cPr),(2S)-2-cyclopropyl-2-(methylamino)acetic acid,,,Mono97,(4S)-5-amino-4-methylpentanoic acid,,,,,,
-aze,azetidine,,,Mono98,(5R)-5-aminohexanoic acid,,,,,,
,,,,Mono99,(5S)-5-aminohexanoic acid,,,,,,
,,,,Pro(O->S),N.D,,,,,,
,,,,Mono114,4-(ethylamino)butanoic acid,,,,,,
,,,,Me_Gly(cBu),(2S)-2-cyclobutyl-2-(methylamino)acetic acid,,,,,,
,,,,Gly(cPent),(2S)-2-amino-2-cyclopentylacetic acid,,,,,,
,,,,Ala(cBu),(2S)-2-amino-3-cyclobutylpropanoic acid,,,,,,
