Pos_1_Symbol,Pos_1_IUPAC,Pos_2_Symbol,Pos_2_IUPAC,Pos_3_Symbol,Pos_3_IUPAC,Pos_4_Symbol,Pos_4_IUPAC,Pos_5_Symbol,Pos_5_IUPAC,Pos_6_Symbol,Pos_6_IUPAC
,,Me_Bmt(E),"(E,2S,3R,4R)-3-hydroxy-4-methyl-2-(methylamino)oct-6-enoic acid",Mono85,(2R)-2-(6-aminohexylamino)propanoic acid,Mono2,"(2S,3S)-3-methylpyrrolidine-2-carboxylic acid",,,Glu(3R-Me),"(2S,3R)-2-amino-3-methylpentanedioic acid"
,,meY,(2S)-3-(4-hydroxyphenyl)-2-(methylamino)propanoic acid,Mono92,(2R)-5-amino-2-methylpentanoic acid,Mono4,(2S)-2-(methylamino)-4-oxo-4-piperidin-1-ylbutanoic acid,,,Glu(OMe),(2S)-2-amino-5-methoxy-5-oxopentanoic acid
,,Tyr(Me),(2S)-2-amino-3-(4-methoxyphenyl)propanoic acid,dPro(O->S),N.D,Mono6,4-(methylamino)butanoic acid,,,G,2-aminoacetic acid
,,Mono18,"(4S,5R)-2-[(1S,2S)-1-amino-2-methylbutyl]-4,5-dihydro-1,3-oxazole-4-carboxylic acid",,,Bal(3-Me),(3S)-3-aminobutanoic acid,,,MeOEt_Gly,2-(2-methoxyethylamino)acetic acid
,,Mono39,2-(2-phenoxyethylamino)acetic acid,,,Mono40,2-[3-(1-methylpyrazol-4-yl)propylamino]acetic acid,,,NH2Bu_Gly,2-(4-aminobutylamino)acetic acid
,,Mono75,(2S)-2-(3-aminopropylamino)-3-phenylpropanoic acid,,,Mono47,(2S)-1-[(1S)-1-[(2S)-aziridin-2-yl]-2-(tert-butylamino)-2-oxoethyl]pyrrolidine-2-carboxylic acid,,,H,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid
,,-pip,piperidine,,,Bal(d3-Me),(3R)-3-aminobutanoic acid,,,K,"(2S)-2,6-diaminohexanoic acid"
,,Pro(O->S),N.D,,,Me_Bal(d3-Me),(3R)-3-(methylamino)butanoic acid,,,Met(O2),(2S)-2-amino-4-methylsulfonylbutanoic acid
,,Phe(3-F),(2S)-2-amino-3-(3-fluorophenyl)propanoic acid,,,-nme2,N-methylmethanamine,,,Nle(OH),(2S)-2-amino-6-hydroxyhexanoic acid
,,Me_Nva(F2),"(2S)-5,5-difluoro-2-(methylamino)pentanoic acid",,,Me_Gly(cPr),(2S)-2-cyclopropyl-2-(methylamino)acetic acid,,,Orn,"(2S)-2,5-diaminopentanoic acid"
,,,,,,-aze,azetidine,,,meQ,(2S)-5-amino-2-(methylamino)-5-oxopentanoic acid
,,,,,,,,,,Gln(Me),2-amino-5-(methylamino)-5-oxopentanoic acid
,,,,,,,,,,Gln(Me2),(2S)-2-amino-5-(dimethylamino)-5-oxopentanoic acid
,,,,,,,,,,"Arg(Me,Me)","(2S)-2-amino-5-[(N,N'-dimethylcarbamimidoyl)amino]pentanoic acid"
,,,,,,,,,,Ser(Ac),(2S)-3-acetyloxy-2-aminopropanoic acid
,,,,,,,,,,Ser(EtNMe2),(2S)-2-amino-3-[2-(dimethylamino)ethoxy]propanoic acid
,,,,,,,,,,Ser(Me),(2S)-2-amino-3-methoxypropanoic acid
,,,,,,,,,,Sar,2-(methylamino)acetic acid
,,,,,,,,,,T,"(2S,3R)-2-amino-3-hydroxybutanoic acid"
,,,,,,,,,,meT,"(2S,3R)-3-hydroxy-2-(methylamino)butanoic acid"
,,,,,,,,,,(N->O)Val(3-OH),"(2S)-2,3-dihydroxy-3-methylbutanoic acid"
,,,,,,,,,,Mono5,(2S)-2-(methylamino)-4-morpholin-4-yl-4-oxobutanoic acid
,,,,,,,,,,Mono23,"(2S,3R)-2,3-diaminobutanoic acid"
,,,,,,,,,,Mono24,"(2S,3S,4R)-2,5-diamino-3,4-dimethyl-5-oxopentanoic acid"
,,,,,,,,,,Mono33,2-(morpholin-4-ylmethylamino)ethanol
,,,,,,,,,,Mono42,2-(2-morpholin-4-ylethylamino)acetic acid
,,,,,,,,,,Mono54,(2S)-2-amino-3-[(2S)-2-hydroxypropoxy]propanoic acid
,,,,,,,,,,Mono55,(2S)-2-amino-3-(2-hydroxy-2-methylpropoxy)propanoic acid
,,,,,,,,,,Mono56,(2S)-2-amino-3-(3-hydroxy-3-methylbutoxy)propanoic acid
,,,,,,,,,,Mono57,(2S)-2-amino-3-[2-(tert-butylamino)-2-oxoethoxy]propanoic acid
,,,,,,,,,,Mono62,(2S)-2-amino-3-(2-morpholin-4-ylethoxy)propanoic acid
,,,,,,,,,,Mono63,"(2S)-2-amino-4-(5-oxo-4H-1,2,4-oxadiazol-3-yl)butanoic acid"
,,,,,,,,,,Mono66,"(2S)-2-amino-3-(3,3,3-trifluoro-2-hydroxypropoxy)propanoic acid"
,,,,,,,,,,Mono111,"(4R)-2-[6-[(2S)-2-amino-3-amino-3-oxopropyl]-3H-azepin-8-yl]-4,5-dihydro-1,3-thiazole-4-carboxylic acid"
,,,,,,,,,,Mono112,"(4R)-2-[(2S)-2,3-diamino-3-oxopropyl]-4,5-dihydro-1,3-thiazole-4-carboxylic acid"
,,,,,,,,,,glyco-,2-hydroxyacetic acid
,,,,,,,,,,Thr(O->S),N.D
,,,,,,,,,,Ac3c,1-aminocyclopropane-1-carboxylic acid
,,,,,,,,,,Aze,(2S)-azetidine-2-carboxylic acid
,,,,,,,,,,Ser(tBuOH),(2S)-2-amino-3-(2-hydroxy-2-methylpropoxy)propanoic acid
,,,,,,,,,,Val(3-OH),(2S)-2-amino-3-hydroxy-3-methylbutanoic acid
,,,,,,,,,,Me_Ser(Me),(2S)-3-methoxy-2-(methylamino)propanoic acid
,,,,,,,,,,Mono116,2-[4-(methylaminomethyl)triazol-1-yl]acetic acid
