Pos_1_Symbol,Pos_1_IUPAC,Pos_2_Symbol,Pos_2_IUPAC,Pos_3_Symbol,Pos_3_IUPAC,Pos_4_Symbol,Pos_4_IUPAC,Pos_5_Symbol,Pos_5_IUPAC,Pos_6_Symbol,Pos_6_IUPAC
meV,(2S)-3-methyl-2-(methylamino)butanoic acid,,,Mono44,2-[[6-(2-methylpropyl)-4H-oxazin-4-yl]methylamino]acetic acid,dNva,(2R)-2-aminopentanoic acid,,,Mono70,"(E,2S,4R)-4-methyl-2-(methylamino)-3-oxooct-6-enoic acid"
Y,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,,,Mono45,2-[[2-(pyrazol-1-ylmethyl)phenyl]methylamino]ethanol,3Pal,(2S)-2-amino-3-pyridin-3-ylpropanoic acid,,,Me_Gly(cPent),(2S)-2-cyclopentyl-2-(methylamino)acetic acid
Tyr(3-F),(2S)-2-amino-3-(3-fluoro-4-hydroxyphenyl)propanoic acid,,,Mono76,(2S)-2-(4-aminobutylamino)-3-phenylpropanoic acid,4Pal,(2S)-2-amino-3-pyridin-4-ylpropanoic acid,,,,
(N->O)Tyr,(2S)-2-hydroxy-3-(4-hydroxyphenyl)propanoic acid,,,Mono102,"2-[(2S)-pyrrolidin-2-yl]-1,3-thiazole-4-carboxylic acid",Pye,(2S)-2-amino-5-oxo-5-pyrrolidin-1-ylpentanoic acid,,,,
Mono25,"[(2S,4S)-4-chloropiperidin-2-yl]methanol",,,Me_Phe(4-Me),(2S)-2-(methylamino)-3-(4-methylphenyl)propanoic acid,dPye,(2R)-2-amino-5-oxo-5-pyrrolidin-1-ylpentanoic acid,,,,
Mono27,"(2S,4S)-4-hydroxy-2,5-dimethyl-3-oxohexanoic acid",,,Me_Chg,(2S)-2-cyclohexyl-2-(methylamino)acetic acid,Ser(Pr),(2S)-2-amino-3-propoxypropanoic acid,,,,
Mono50,"(2S)-2-amino-3-(2,2,3,3-tetrafluoropropoxy)propanoic acid",,,Et_Leu,(2S)-2-(ethylamino)-4-methylpentanoic acid,Ser(tBu),(2S)-2-amino-3-[(2-methylpropan-2-yl)oxy]propanoic acid,,,,
Mono65,"(2S)-2-amino-7,7,7-trifluoro-6-hydroxyheptanoic acid",,,Mono117,(2S)-2-[[5-(aminomethyl)-1H-pyrrol-2-yl]methylamino]-3-phenylpropanoicacid,Tza,"(2S)-2-amino-3-(1,3-thiazol-4-yl)propanoic acid",,,,
Mono72,(2S)-2-amino-5-[bis(ethoxycarbonyl)amino]-5-oxopentanoic acid,,,Mono119,(2S)-2-[[5-(aminomethyl)-1-methylpyrrol-2-yl]methylamino]-3-phenylpropanoicacid,V,(2S)-2-amino-3-methylbutanoic acid,,,,
Mono93,(2S)-5-amino-2-methylpentanoic acid,,,Mono120,(2S)-2-[[4-(aminomethyl)-1H-pyrrol-2-yl]methylamino]-3-phenylpropanoicacid,dV,(2R)-2-amino-3-methylbutanoic acid,,,,
Me_Gly(cBu),(2S)-2-cyclobutyl-2-(methylamino)acetic acid,,,Mono121,(2S)-2-[[4-(aminomethyl)-1-methylpyrrol-2-yl]methylamino]-3-phenylpropanoicacid,Mono49,(2S)-2-amino-3-[(5-fluoropyridin-3-yl)methoxy]propanoic acid,,,,
,,,,,,Mono53,(2S)-2-amino-3-[6-(dimethylamino)pyridin-3-yl]propanoic acid,,,,
,,,,,,Mono71,(2S)-2-amino-4-(1-ethoxycarbonyl-4H-pyrimidin-4-yl)butanoic acid,,,,
,,,,,,Mono73,(2S)-2-amino-4-[bis(ethoxycarbonyl)amino]-4-oxobutanoic acid,,,,
,,,,,,Mono74,"(2S)-2-amino-5-[[(E)-N,N'-bis(ethoxycarbonyl)carbamimidoyl]amino]pentanoic acid",,,,
,,,,,,Mono109,"(4R)-2-[6-[(2S)-2-amino-3-amino-3-oxopropyl]-4H-thiopyran-4-yl]-4,5-dihydro-1,3-thiazole-4-carboxylic acid",,,,
,,,,,,Mono110,"(4R)-2-[3-[(2S)-2-amino-3-amino-3-oxopropyl]cyclohepta-2,4,6-trien-1-yl]-4,5-dihydro-1,3-thiazole-4-carboxylic acid",,,,
,,,,,,Ala(O->S),N.D,,,,
,,,,,,dAla(O->S),N.D,,,,
,,,,,,Gly(allyl),(2S)-2-aminopent-4-enoic acid,,,,
,,,,,,Gly(cPr),(2S)-2-amino-2-cyclopropylacetic acid,,,,
,,,,,,Gly(cBu),(2S)-2-amino-2-cyclobutylacetic acid,,,,
,,,,,,Ala(cPr),(2S)-2-amino-3-cyclopropylpropanoic acid,,,,
